country;iso3;year;sex;age_group;pop;type;expected.mean;acm.mean;excess.mean
Afghanistan;AFG;2020;Female;0-24;12485568;predicted;49083,64393;49103,14315;0
Afghanistan;AFG;2020;Female;25-34;2734917;predicted;6452,967039;6691,247219;236,6078172
Afghanistan;AFG;2020;Female;35-44;1684126;predicted;6117,873106;6977,363939;860,3007139
Afghanistan;AFG;2020;Female;45-54;1141134;predicted;7711,689531;9330,217317;1621,571806
Afghanistan;AFG;2020;Female;55-64;699319;predicted;10061,54416;12457,98509;2401,488971
Afghanistan;AFG;2020;Female;65-74;379159;predicted;13955,34211;17144,29989;3195,449373
Afghanistan;AFG;2020;Female;75-84;137387;predicted;12751,71132;14639,04124;1889,380411
Afghanistan;AFG;2020;Female;>85;17169;predicted;3694,554308;4614,098305;921,5472623
Afghanistan;AFG;2020;Male;0-24;13078123;predicted;67685,66842;67712,55757;0
Afghanistan;AFG;2020;Male;25-34;2796206;predicted;15363,92683;15618,54183;249,4509967
Afghanistan;AFG;2020;Male;35-44;1711983;predicted;10604,84385;11884,72624;1280,492393
Afghanistan;AFG;2020;Male;45-54;1099713;predicted;11163,84975;13653,86141;2494,973897
Afghanistan;AFG;2020;Male;55-64;599195;predicted;12851,52936;16681,93527;3839,762806
Afghanistan;AFG;2020;Male;65-74;295002;predicted;14370,23219;18771,86731;4412,54606
Afghanistan;AFG;2020;Male;75-84;100661;predicted;11140,22201;13762,16829;2627,416752
Afghanistan;AFG;2020;Male;>85;10746;predicted;2540,927045;3461,419939;922,9597742
Afghanistan;AFG;2021;Female;0-24;12769982;predicted;46857,23422;46868,59173;0
Afghanistan;AFG;2021;Female;25-34;2873191;predicted;6413,066258;7446,916329;1033,950236
Afghanistan;AFG;2021;Female;35-44;1745013;predicted;6045,344266;7810,971549;1766,989639
Afghanistan;AFG;2021;Female;45-54;1182170;predicted;7706,030711;10622,16722;2918,939764
Afghanistan;AFG;2021;Female;55-64;724926;predicted;10084,09344;13517,40839;3436,369832
Afghanistan;AFG;2021;Female;65-74;387774;predicted;13848,71735;17488,45059;3642,205014
Afghanistan;AFG;2021;Female;75-84;142779;predicted;12842,9279;15692,04348;2850,564314
Afghanistan;AFG;2021;Female;>85;17570;predicted;3672,612534;4973,226162;1301,806681
Afghanistan;AFG;2021;Male;0-24;13370180;predicted;67263,48348;67279,78715;0
Afghanistan;AFG;2021;Male;25-34;2930198;predicted;17347,82319;20322,53718;2975,270361
Afghanistan;AFG;2021;Male;35-44;1771261;predicted;11242,86672;14548,15261;3307,854244
Afghanistan;AFG;2021;Male;45-54;1145885;predicted;11561,27083;15757,45879;4200,10697
Afghanistan;AFG;2021;Male;55-64;622635;predicted;13109,07319;17221,04236;4115,377439
Afghanistan;AFG;2021;Male;65-74;300659;predicted;14278,64253;18195,27501;3919,443707
Afghanistan;AFG;2021;Male;75-84;102685;predicted;11228,97664;13764,03952;2536,400067
Afghanistan;AFG;2021;Male;>85;10707;predicted;2526,115774;3299,619941;774,1306916
Angola;AGO;2020;Female;0-24;10688023;predicted;49004,6457;49015,37757;0
Angola;AGO;2020;Female;25-34;2341821;predicted;5921,621866;5135,341182;-866,173381
Angola;AGO;2020;Female;35-44;1627245;predicted;6547,707526;6229,061785;-352,0218501
Angola;AGO;2020;Female;45-54;1077578;predicted;7561,420152;7636,03138;80,23583483
Angola;AGO;2020;Female;55-64;683591;predicted;9563,339874;9884,399956;350,796756
Angola;AGO;2020;Female;65-74;337146;predicted;11619,42446;11923,62331;331,7576555
Angola;AGO;2020;Female;75-84;134937;predicted;11189,94938;10718,03114;-521,7081926
Angola;AGO;2020;Female;>85;19366;predicted;3475,465281;3717,499229;265,3505259
Angola;AGO;2020;Male;0-24;10738206;predicted;60431,88031;60445,11471;0
Angola;AGO;2020;Male;25-34;2284929;predicted;8687,78964;7398,101099;-1420,484794
Angola;AGO;2020;Male;35-44;1549011;predicted;9481,106631;8875,467699;-668,3618882
Angola;AGO;2020;Male;45-54;965367;predicted;10405,35453;10626,66892;240,8941903
Angola;AGO;2020;Male;55-64;606922;predicted;12561,61905;13606,39449;1146,012763
Angola;AGO;2020;Male;65-74;273173;predicted;11851,91863;12930,89251;1183,794954
Angola;AGO;2020;Male;75-84;87183;predicted;8450,271612;8704,643701;277,721755
Angola;AGO;2020;Male;>85;11916;predicted;2446,589177;2906,624315;505,3548353
Angola;AGO;2021;Female;0-24;11024172;predicted;47670,44212;47672,23622;0
Angola;AGO;2021;Female;25-34;2404354;predicted;5816,675137;5725,321875;-91,64802908
Angola;AGO;2021;Female;35-44;1691624;predicted;6580,85341;7185,979332;605,3792976
Angola;AGO;2021;Female;45-54;1111956;predicted;7719,859686;8997,093257;1278,000784
Angola;AGO;2021;Female;55-64;711154;predicted;9834,910375;11149,10403;1314,911816
Angola;AGO;2021;Female;65-74;349761;predicted;11908,59292;12721,84861;813,4807903
Angola;AGO;2021;Female;75-84;137587;predicted;11436,53633;11824,1527;387,5066759
Angola;AGO;2021;Female;>85;20312;predicted;3608,812311;4200,493069;592,0349435
Angola;AGO;2021;Male;0-24;11083213;predicted;59223,31194;59225,54085;0
Angola;AGO;2021;Male;25-34;2346050;predicted;8830,028633;8783,194763;-47,20526384
Angola;AGO;2021;Male;35-44;1612754;predicted;9802,870571;10737,56177;935,0962038
Angola;AGO;2021;Male;45-54;996994;predicted;10651,89142;12271,41957;1620,468461
Angola;AGO;2021;Male;55-64;626306;predicted;13067,5003;14504,84501;1438,043126
Angola;AGO;2021;Male;65-74;284809;predicted;12435,30999;13399,5901;964,6104734
Angola;AGO;2021;Male;75-84;88573;predicted;8552,473631;8860,898184;308,3578923
Angola;AGO;2021;Male;>85;11990;predicted;2505,017517;2828,252652;323,408531
Albania;ALB;2020;Female;0-24;437240;reported;220,1903779;183,2844292;-36,90594873
Albania;ALB;2020;Female;25-34;213836;reported;70,76440448;71,93421147;1,169806987
Albania;ALB;2020;Female;35-44;165218;reported;116,1676152;132,043621;15,87600589
Albania;ALB;2020;Female;45-54;185957;reported;319,4486666;352,7732562;33,32458966
Albania;ALB;2020;Female;55-64;198168;reported;765,6143697;947,9549511;182,3405814
Albania;ALB;2020;Female;65-74;134670;reported;1420,232141;1908,720104;488,487963
